1000 10000
491 670 4849
260 970 4370
639 619 4227
406 909 9272
2 482 1114
281 945 3086
779 719 2485
88 300 1572
921 225 1729
847 287 1684
974 272 4646
678 192 9785
908 345 9542
941 714 7635
279 146 2813
861 94 6946
257 118 4057
840 651 6489
622 87 9861
793 768 2365
583 428 772
41 504 8185
408 139 1370
333 189 1595
882 923 7463
261 257 6432
587 82 2178
888 317 766
578 897 4067
574 735 8432
868 263 1012
295 416 917
253 84 6391
939 475 9800
268 22 4759
750 116 5608
712 29 2398
847 461 6482
358 57 8673
303 141 4790
759 359 6789
540 152 7748
34 374 1756
727 517 8580
161 760 9438
713 985 2358
3 501 3633
666 530 6780
721 416 7136
432 115 4681
581 722 8426
598 635 2326
837 704 8776
533 602 3990
859 270 290
953 531 4821
18 11 5642
367 7 233
744 355 105
77 317 3472
196 825 8160
75 878 1401
792 724 8989
383 110 733
758 832 6704
411 400 2664
496 743 2944
520 169 7616
875 285 1340
412 120 9948
670 508 6071
805 715 2546
372 60 6529
610 56 9243
262 344 4324
334 214 6119
831 522 4859
831 137 5013
981 728 174
172 939 1364
904 334 5111
171 468 8389
663 844 3554
900 993 2284
978 894 9615
812 647 1398
390 870 1416
411 376 8931
338 518 430
570 687 7115
633 348 8805
535 53 1236
357 343 6610
226 873 5522
308 351 7815
458 794 9974
655 633 7956
603 6 7151
445 669 6776
984 334 9232
949 980 5796
588 943 749
261 691 9043
708 812 4437
738 780 8445
962 629 7892
605 67 1452
155 664 5325
221 987 9187
689 214 3813
56 698 8981
738 377 4805
695 304 2280
201 364 9748
877 476 3859
389 123 3356
374 496 4819
101 494 9166
8 396 3423
229 500 7923
190 151 9003
970 660 2199
519 634 930
758 767 3753
565 174 1498
456 432 2702
191 181 6936
524 18 2717
981 507 3559
485 615 198
0 103 8912
495 561 1524
525 141 7241
62 739 9082
726 50 8599
129 466 8011
741 450 2186
32 811 5663
383 957 8652
899 611 5310
849 750 5619
779 464 2381
44 665 1675
845 656 9606
745 14 313
707 471 333
463 782 425
563 179 9741
433 28 897
3 395 6844
254 663 2155
731 502 5998
885 951 3048
670 375 4339
304 470 2352
579 975 3281
766 76 2343
672 564 4067
48 727 5692
206 951 3328
473 234 8445
296 153 3027
188 485 9947
301 877 4878
868 97 6196
162 649 108
275 599 9971
612 871 353
606 475 6274
373 863 7136
972 232 2487
953 340 4664
314 230 8330
532 877 1704
597 292 9423
619 276 2248
69 528 2546
152 681 3973
26 296 6859
429 481 5661
595 431 6078
138 59 5454
493 716 1120
222 644 1132
487 981 9075
224 156 9495
816 423 1283
484 857 518
873 799 9753
977 987 8704
635 811 5760
291 270 2951
46 557 1267
76 993 8343
344 851 3885
696 228 621
754 685 7846
816 593 6371
149 632 2006
29 303 7214
846 65 9072
555 665 1717
705 768 9620
727 87 1940
974 375 5657
600 286 8737
245 997 6237
941 690 8903
702 735 1653
390 328 6169
863 652 7719
494 778 4744
607 485 9205
511 345 3686
523 725 8335
195 882 8130
728 885 746
832 52 8030
424 480 1212
306 498 204
669 28 6186
523 423 481
2 176 5987
588 535 6483
208 584 3497
501 707 7712
447 343 4988
323 630 8107
816 745 1257
791 456 5094
986 110 2186
362 948 9941
937 36 8433
232 687 4868
37 297 1211
505 863 2113
298 619 7569
495 448 9802
134 661 2339
749 186 2042
386 516 9879
402 446 6199
865 712 1346
417 454 1081
152 407 7895
507 523 954
908 343 4000
973 506 408
315 869 9229
743 853 4057
803 33 2654
488 200 5705
281 409 353
175 619 4272
889 642 5036
76 129 2958
435 40 2609
651 982 2502
765 33 5735
262 248 4400
704 677 8267
261 774 7953
39 404 2403
243 787 7852
306 26 8239
269 495 8167
797 65 6463
713 820 9739
770 931 7741
353 598 1146
149 451 3680
374 80 8740
864 550 8483
765 503 7903
916 498 9487
791 715 3221
79 220 9406
892 46 8063
670 967 6089
997 653 2914
484 91 5571
220 871 5552
792 778 1390
107 243 9663
849 572 838
886 597 3949
956 373 5898
837 713 9070
380 869 578
204 860 8681
113 65 1992
107 191 6771
384 607 6498
278 961 8375
702 802 7767
817 905 9481
87 529 5730
583 760 985
885 942 6212
139 245 174
605 699 2084
931 57 1690
738 9 6876
46 514 3554
53 160 1834
31 140 4
411 752 2913
951 558 8832
19 167 8637
859 45 9989
690 743 5756
72 995 1612
572 434 9517
360 197 6016
807 834 6014
364 650 4634
973 598 8677
816 414 334
884 238 1390
914 43 5042
400 734 3793
737 975 1009
576 350 8205
379 0 5697
981 918 3617
3 735 9735
921 448 5589
625 195 6626
345 157 462
436 448 2052
116 311 7308
302 581 6979
179 4 3945
670 674 5555
151 453 7611
293 717 2596
863 458 9119
643 146 7762
726 814 2230
51 797 9643
626 197 7245
723 378 5760
678 202 5361
743 882 449
770 896 1928
381 244 2149
152 917 5639
129 962 5105
561 532 5411
338 411 354
853 453 2021
643 48 1540
45 376 4121
617 782 504
657 153 9311
957 22 8590
718 806 453
176 48 7
149 425 3226
435 61 4095
334 579 9303
939 720 6337
829 866 2785
144 264 9483
374 282 5784
820 961 4672
871 572 3392
849 172 4252
703 424 5476
29 47 6763
432 974 4693
836 80 5463
483 77 3624
136 530 4121
110 226 534
710 224 9113
123 313 6806
919 792 6745
796 868 9581
98 874 527
15 825 1676
880 303 8812
207 326 7505
385 431 5754
299 223 5558
392 320 3964
485 824 4752
444 393 2951
69 177 5388
546 898 8384
190 649 6099
190 677 4398
84 912 6232
173 936 220
702 1 185
188 191 4947
869 610 2767
419 995 9074
764 291 3504
478 756 1119
111 484 2300
443 680 5948
5 128 3057
21 816 4819
79 418 9763
32 845 6305
749 325 8020
500 883 9798
561 562 2178
482 91 1838
3 168 9279
93 724 9708
843 208 265
438 450 8206
39 946 6405
687 334 8554
287 102 2598
810 835 3608
77 624 6036
239 784 7082
39 983 4418
68 532 2030
567 712 8757
945 623 4418
373 122 9748
537 375 4624
371 979 975
20 203 2465
149 530 9156
891 262 6726
533 55 5910
685 374 9641
397 180 649
790 242 7517
731 268 6742
953 554 1500
257 591 6316
22 429 6169
803 244 1763
387 371 8496
309 674 9003
104 150 9666
984 768 5364
998 530 5224
552 163 5490
108 362 1655
803 641 485
148 556 7118
109 84 5208
549 197 5593
844 700 3826
887 400 1312
791 967 6167
299 456 6374
243 88 5092
56 515 188
534 692 5599
11 291 2734
113 38 9132
137 37 2548
865 949 6628
595 62 3170
340 753 8199
812 561 6740
881 263 7502
247 439 4508
255 567 6632
257 125 9305
207 591 1948
918 940 3762
711 224 3731
671 388 3709
4 207 6845
640 18 6554
320 358 2213
994 67 8609
699 942 673
583 829 2863
956 68 2467
694 860 1232
936 442 7099
768 57 8151
970 71 6410
917 557 5188
332 362 8395
795 841 1866
806 752 2108
509 503 4201
284 80 4517
59 959 4135
746 421 3994
709 200 4195
980 71 2219
52 458 6468
923 556 7608
955 135 8885
668 132 2010
939 1 8912
568 257 9524
912 984 1117
532 573 8797
332 20 3599
665 274 8754
219 817 707
526 134 2825
784 921 6174
318 134 8727
177 308 7156
791 377 6182
824 124 3386
965 790 6900
777 352 5641
837 36 1678
925 180 4370
5 220 351
769 140 8855
746 701 8383
407 624 6372
28 755 6517
226 143 3955
221 709 9453
405 362 4550
679 68 8084
3 145 9241
373 739 5035
847 584 6724
82 778 4536
800 741 6062
507 758 9281
824 200 625
790 394 7287
136 204 9335
421 197 3754
370 632 1120
555 398 438
803 649 2186
21 366 2589
718 615 1501
159 332 5534
805 286 5731
259 521 2441
886 609 1662
717 359 3929
327 923 4994
606 813 1294
512 703 8819
328 882 5698
607 594 406
82 88 1641
867 118 2447
901 701 2294
534 533 7252
95 283 2575
44 613 3596
244 796 2319
866 289 3681
172 215 3664
940 992 2467
107 294 5140
208 57 5538
516 544 4161
14 399 5354
886 294 4091
416 906 5903
510 137 3242
769 89 179
133 192 4737
380 52 2894
650 773 5643
204 841 8810
591 484 8387
2 765 7027
82 507 7652
231 942 932
744 34 3524
933 576 8002
281 745 6771
673 380 917
324 547 7044
22 913 5315
292 661 8738
771 647 8148
233 811 9973
799 35 319
137 975 6492
89 866 6033
110 257 2012
806 715 8349
113 774 4445
62 314 6868
526 368 3229
540 268 8424
91 912 6789
294 991 4443
426 962 9919
456 589 5264
960 650 8567
846 427 3968
344 101 3625
187 893 8000
60 179 3197
894 624 8765
107 726 5922
758 442 7866
215 352 554
538 963 5766
836 572 4183
304 300 1021
736 633 7632
767 882 5815
873 482 2805
962 605 3956
70 804 6225
218 770 7987
122 353 9004
399 503 6347
347 925 4182
529 998 3128
95 437 8152
468 618 5010
959 725 4101
157 510 5583
305 272 7006
693 67 9206
182 606 8147
972 407 7829
798 638 9515
832 878 74
880 739 6863
581 615 6985
540 689 9498
7 778 9671
138 618 3540
105 41 6401
992 984 441
939 776 1324
543 682 2584
778 472 5385
693 183 3177
485 549 4016
911 80 7856
335 650 2590
0 319 3015
691 560 7509
833 393 406
51 685 590
780 345 3996
747 805 1618
159 162 547
751 874 5425
656 406 2105
796 936 1287
627 802 7480
426 300 1245
665 320 1445
195 206 663
436 484 9984
29 704 5237
869 459 1825
541 518 3533
766 324 5761
304 140 7253
167 389 7088
628 517 4728
961 976 8352
644 566 8196
777 77 1461
522 552 9649
355 898 9816
103 890 2931
767 702 3357
368 354 2797
883 926 6009
451 113 9380
130 247 2177
948 251 8797
920 361 8375
460 57 159
62 625 279
315 102 5705
270 329 6845
940 81 9297
620 464 5052
844 427 1511
964 545 4911
7 959 4335
649 251 2337
462 259 8654
277 460 4217
604 807 5263
423 485 2796
171 898 2366
843 800 4171
166 256 2764
897 721 2957
192 491 3172
946 197 2872
501 203 9610
769 669 9144
389 71 370
689 225 5390
676 552 9446
687 26 3082
303 5 1531
179 750 5148
774 584 3750
694 551 1133
829 368 2026
216 744 8753
146 227 7814
355 318 6030
291 310 841
913 132 8337
361 420 159
756 803 7707
39 507 9572
109 894 6746
492 73 1214
700 651 732
266 568 8562
494 530 2538
84 580 6362
183 13 5458
812 399 6422
430 977 7859
526 647 4493
2 485 7732
843 250 3050
729 618 2251
822 892 6563
468 633 8393
691 832 1591
961 444 2710
461 211 8548
371 362 3218
485 63 452
661 596 1266
26 881 3156
157 936 2975
112 767 1168
114 273 2831
350 895 4646
124 597 36
773 665 2776
842 292 633
988 461 5282
41 5 4768
597 524 7690
101 540 5445
903 390 9605
37 330 2711
748 483 4260
88 708 5437
718 559 8889
76 991 4987
509 514 9950
55 748 4293
794 718 9399
806 575 7017
523 46 6685
708 653 2275
630 87 3695
797 807 4909
167 413 4721
407 430 6045
632 216 6315
892 840 3083
728 0 7018
863 911 6265
529 56 2727
361 418 5830
850 368 6696
664 482 5924
891 818 1984
291 543 5441
639 741 732
649 40 5506
519 485 5366
24 280 9124
486 117 1939
835 747 3254
891 721 4909
485 130 1137
423 907 7151
157 500 6743
281 919 4299
484 764 3148
503 660 1132
480 730 1226
781 251 1085
737 653 6050
930 740 4325
876 108 1580
134 197 4988
755 118 9835
129 547 5329
637 638 8170
539 198 289
113 294 3455
809 965 6513
575 493 7384
635 110 4236
595 860 9176
591 148 2544
505 120 3389
818 678 9707
785 49 2879
692 842 4678
180 135 8087
581 611 9881
480 437 6587
539 490 4189
744 382 4259
711 327 2382
149 715 9073
878 820 5076
405 732 4917
127 426 8056
592 974 5059
769 132 9543
917 330 7695
902 799 5158
15 86 6766
453 805 9164
752 239 8187
901 337 1687
255 591 3208
244 434 6665
160 145 6982
344 662 3179
351 371 4798
249 683 6012
508 490 4818
229 446 8130
838 415 9685
282 322 2485
760 613 8927
850 982 8622
43 927 605
674 41 4347
284 618 6171
427 248 1236
587 605 3513
602 448 7137
760 480 6284
763 940 6484
74 617 426
516 818 9776
277 224 5126
502 46 723
218 574 4325
951 578 5066
303 717 353
85 869 8551
541 38 6465
749 360 9774
453 238 9671
172 692 6801
819 860 9644
559 350 1896
632 966 8143
729 33 5692
981 686 1037
931 884 1034
538 303 1044
260 270 2580
226 140 39
223 587 404
489 373 1220
691 598 8766
588 636 8743
715 963 8683
538 492 4001
225 857 3724
490 205 4457
178 947 7340
386 960 7094
570 642 2927
186 159 9089
255 869 2578
160 564 8634
99 70 8563
706 343 9418
2 59 4196
426 632 3786
962 652 2017
811 432 4698
422 991 2831
166 765 8154
314 112 5851
421 411 9179
597 609 4
667 849 9298
132 273 6142
288 875 5876
703 280 6573
731 933 1007
972 133 1351
407 307 6756
111 727 2089
518 914 7096
773 776 7053
836 385 3210
946 287 2861
494 76 2414
655 823 4973
557 533 3227
801 876 6583
758 414 8926
719 727 3130
534 695 5322
741 771 6030
59 233 5574
405 715 7597
956 182 5259
819 873 1478
13 279 6172
380 517 734
151 515 5437
924 154 9587
687 808 8942
152 585 8928
184 745 338
288 727 1994
295 847 322
814 688 9184
502 973 9939
810 502 6056
933 450 9764
941 809 3436
388 822 7833
301 908 9897
819 885 6705
245 269 1345
930 439 2666
167 488 463
190 359 2955
106 577 4323
625 784 2376
354 997 1251
162 857 2577
106 108 7723
23 423 3276
233 18 8520
993 160 5027
771 92 9253
580 212 3957
980 937 1519
747 955 4188
685 502 6536
589 952 2711
256 154 6883
809 287 1890
747 143 2170
779 624 3096
101 890 1836
817 602 6206
419 0 9255
884 29 1520
883 332 2104
229 633 2072
143 30 4173
454 437 3631
844 236 3121
974 635 7306
834 782 8097
741 770 4064
324 350 585
685 560 7786
586 8 7874
675 424 3510
768 653 3203
642 813 3993
676 158 8779
244 324 9937
333 103 1107
368 880 6399
363 42 6868
792 593 7587
192 421 3445
253 54 6391
171 284 2488
713 5 2597
855 455 2902
338 124 7424
360 841 9467
144 855 9848
102 177 5053
273 216 2827
597 277 8372
530 279 8649
300 685 7282
438 967 3089
60 564 5962
368 490 3845
232 98 8055
33 160 4880
735 621 8030
916 273 6557
7 627 8013
804 157 6213
872 386 7315
844 168 718
988 75 237
33 983 9412
747 602 8935
878 299 1557
199 909 4225
918 457 1782
273 151 4810
686 136 1713
374 203 8105
353 620 629
265 774 1660
895 665 783
569 428 4310
949 644 3780
992 592 2586
644 891 8915
472 663 3130
370 889 5846
605 780 8653
242 528 9542
680 798 352
947 352 4196
964 188 9975
493 201 3550
514 822 9084
497 906 3801
107 331 3207
110 903 8172
501 911 3570
880 210 183
220 448 6489
212 556 9041
314 6 1715
927 688 8763
387 441 8243
426 379 1474
236 379 8698
252 743 675
675 798 9512
475 639 937
46 304 1890
533 296 7251
358 978 7754
667 359 8053
583 174 5041
264 851 1991
581 753 6192
1 796 1308
894 419 6063
437 719 7239
885 531 9187
260 844 9095
299 976 5661
282 992 9940
536 809 8532
232 923 3733
683 517 3091
660 923 6476
349 274 5874
515 856 6089
679 658 704
568 751 5310
679 644 4901
135 290 2419
277 212 114
74 618 3944
816 916 1065
398 32 8611
349 686 807
467 474 8298
330 553 4728
814 829 454
44 550 1713
279 217 7423
637 113 9945
430 30 2929
875 349 9559
814 462 4748
37 937 3444
869 562 6872
561 972 229
589 236 6043
656 572 7629
253 421 9516
8 937 9106
626 956 5329
192 367 5808
716 49 2996
268 457 6512
934 784 3128
457 614 3971
5 413 7101
954 313 3829
42 146 7218
681 326 8400
103 782 7670
384 197 9837
992 799 106
998 165 130
868 958 5774
896 52 9056
220 709 5756
284 492 6023
418 642 9639
463 745 9273
955 692 8829
466 7 9550
546 475 7489
316 141 4105
780 226 7771
601 150 171
458 609 7934
211 682 6490
202 932 2484
104 672 891
353 369 1264
640 732 3013
238 698 592
266 50 7636
191 145 9574
464 716 1485
757 101 2569
561 612 8896
874 39 9020
419 985 2913
113 330 8147
73 818 4207
319 120 6934
282 126 6172
84 676 3904
933 954 1205
11 815 4381
491 584 9759
541 730 3277
66 493 8480
366 179 1127
482 166 8561
469 262 3818
171 615 7750
27 405 9838
122 142 5064
589 165 3962
328 934 8526
647 866 164
289 284 447
453 553 7906
68 376 7895
658 245 3360
778 882 9151
85 459 6290
189 156 5964
653 990 7113
963 296 5146
766 292 7920
865 92 3116
424 583 2258
845 991 8729
264 147 4635
566 169 4691
164 726 6674
643 795 4115
702 912 3181
883 174 5436
440 474 7481
953 690 9001
9 609 6327
470 268 6247
477 805 7168
120 468 9482
19 994 9177
419 273 3573
775 144 7100
7 341 9509
339 939 4822
525 138 6648
203 728 9932
245 259 325
713 341 7576
97 724 7257
5 447 2932
246 458 172
216 739 7980
384 673 3983
194 248 3926
362 422 8082
78 701 4840
472 272 7938
817 180 2363
535 110 8609
345 647 6543
138 46 9679
846 149 3536
211 789 5254
294 23 1511
247 178 5977
484 80 8626
898 802 5558
292 608 2715
872 874 6864
205 274 8327
966 787 1055
128 429 7274
410 243 9248
989 394 4540
638 454 778
681 808 1487
802 429 3539
649 435 6237
420 644 4872
335 181 2960
458 12 5947
399 168 4205
494 441 6009
720 284 5972
452 481 6428
949 428 251
839 516 1128
301 813 7367
979 239 4798
779 759 5378
631 585 6011
876 197 3487
25 963 6502
590 209 9947
606 235 845
855 291 2606
994 822 1264
88 5 2713
866 353 214
535 106 2050
248 241 9591
398 825 3131
791 934 4401
290 459 8321
348 977 4241
874 686 1558
339 824 7787
489 234 7261
801 826 9454
496 120 181
950 128 6293
210 527 542
521 162 788
218 631 7159
702 79 7636
157 148 2554
236 189 6367
222 543 6333
553 847 1875
253 230 7843
213 713 5129
566 470 6758
779 743 2118
996 834 6789
426 87 1161
332 662 9732
282 253 6614
142 799 8004
772 304 6762
701 166 9569
909 337 1781
536 701 5122
811 403 44
50 142 7447
432 271 9542
465 116 2928
273 223 3493
309 263 6904
409 538 8327
481 739 7625
891 509 8351
429 327 9529
414 181 6850
831 364 1202
754 649 1449
260 381 5693
136 742 6853
583 595 1654
205 64 1335
210 260 3760
575 946 6379
173 863 8627
878 521 73
919 80 1019
135 427 9222
30 241 1994
655 116 3049
850 985 8719
95 592 7432
258 272 5114
166 938 4947
870 114 522
549 508 5853
517 926 2477
90 686 8306
940 61 6915
801 362 3007
294 757 5278
292 151 5922
966 291 826
362 625 1911
789 640 7563
784 102 9509
274 293 4004
322 645 4187
915 403 7707
374 503 9435
108 334 4392
756 821 6595
379 263 7547
407 505 5965
787 920 5017
954 360 565
88 466 4802
98 858 6115
122 939 9685
48 464 2408
67 510 1152
488 121 8153
554 838 2201
934 256 4785
512 641 5957
112 176 6915
357 645 8224
992 788 8169
315 818 3982
663 156 9692
625 314 9606
781 159 3992
942 312 8168
477 623 3978
529 221 3778
767 700 1847
548 86 4777
71 852 3863
465 876 3541
299 169 1395
418 323 6942
233 701 9646
523 435 1626
418 739 4620
458 271 8663
167 517 2949
456 159 7322
701 783 502
214 290 3341
913 139 1138
850 651 8910
536 50 3018
847 207 5097
321 945 5800
151 936 42
239 31 4113
882 381 8345
783 62 3809
172 435 7937
552 269 9638
301 356 6002
177 718 569
